,count,unique,top,freq,mean,std,min,25%,50%,75%,max
category,17,1,         Workers' Compensation,17,,,,,,,
1960,17.0,,,,144.7058823529412,214.63566942201217,0.0,0.0,13.0,180.0,615.0
1961,17.0,,,,151.52941176470588,225.17385440117675,0.0,0.0,14.0,184.0,644.0
1962,17.0,,,,165.8235294117647,245.76798898913728,0.0,0.0,14.0,209.0,705.0
1963,17.0,,,,174.58823529411765,258.94450631929067,0.0,0.0,15.0,216.0,742.0
1964,17.0,,,,189.8235294117647,281.2299404611193,0.0,0.0,16.0,241.0,807.0
1965,17.0,,,,204.64705882352942,302.5181691189123,0.0,0.0,16.0,269.0,870.0
1966,17.0,,,,233.1764705882353,344.37973867776356,0.0,0.0,18.0,310.0,991.0
1967,17.0,,,,258.94117647058823,382.2251415377191,0.0,0.0,20.0,350.0,1100.0
1968,17.0,,,,292.7647058823529,429.71408072865216,0.0,0.0,21.0,414.0,1244.0
1969,17.0,,,,322.88235294117646,474.45467148518793,0.0,0.0,23.0,450.0,1372.0
1970,17.0,,,,360.47058823529414,530.8672288867361,0.0,0.0,28.0,480.0,1532.0
1971,17.0,,,,369.47058823529414,548.2011626272625,0.0,0.0,27.0,486.0,1570.0
1972,17.0,,,,403.47058823529414,600.5159362630457,0.0,0.0,31.0,530.0,1715.0
1973,17.0,,,,482.5882352941176,716.5160551955142,0.0,0.0,37.0,634.0,2051.0
1974,17.0,,,,560.5882352941177,836.5625394152796,0.0,0.0,46.0,747.0,2382.0
1975,17.0,,,,628.0,944.1054628588905,0.0,0.0,53.0,853.0,2669.0
1976,17.0,,,,713.0588235294117,1080.3024733025143,0.0,0.0,64.0,985.0,3031.0
1977,17.0,,,,825.0588235294117,1241.50485654448,0.0,0.0,76.0,1127.0,3506.0
1978,17.0,,,,947.2352941176471,1414.8841617519333,0.0,0.0,81.0,1222.0,4026.0
1979,17.0,,,,1163.5294117647059,1724.5726687228585,0.0,0.0,90.0,1448.0,4945.0
1980,17.0,,,,1319.1176470588234,1951.1239351445918,0.0,0.0,98.0,1682.0,5606.0
1981,17.0,,,,1456.1764705882354,2159.9256421024693,0.0,0.0,106.0,1806.0,6189.0
1982,17.0,,,,1630.3529411764705,2428.4254400016193,0.0,0.0,109.0,2032.0,6929.0
1983,17.0,,,,1714.1176470588234,2580.4758495855212,0.0,0.0,135.0,2274.0,7285.0
1984,17.0,,,,1802.5882352941176,2770.7831036284565,0.0,0.0,178.0,2652.0,7661.0
1985,17.0,,,,2102.823529411765,3238.4968780920212,0.0,0.0,213.0,3289.0,8937.0
1986,17.0,,,,2372.4117647058824,3675.936225283695,0.0,0.0,287.0,3853.0,10083.0
1987,17.0,,,,2813.4117647058824,4309.402120057136,0.0,0.0,366.0,4504.0,11957.0
1988,17.0,,,,3250.764705882353,4989.26968014122,0.0,0.0,452.0,5225.0,13816.0
1989,17.0,,,,3651.470588235294,5702.906595737465,0.0,0.0,545.0,6096.0,15519.0
1990,17.0,,,,4124.588235294118,6443.961864206905,0.0,0.0,590.0,6870.0,17530.0
1991,17.0,,,,4460.764705882353,7044.025540568154,0.0,0.0,713.0,7608.0,18958.0
1992,17.0,,,,4964.705882352941,7753.408941916339,0.0,0.0,790.0,8244.0,21100.0
1993,17.0,,,,5319.294117647059,8141.632013643716,0.0,0.0,648.0,8340.0,22607.0
1994,17.0,,,,5220.882352941177,7860.42618820978,0.0,0.0,600.0,7717.0,22189.0
1995,17.0,,,,5156.235294117647,7732.182401571788,0.0,0.0,564.0,7431.0,21914.0
1996,17.0,,,,5188.35294117647,7760.86130804095,0.0,0.0,636.0,7368.0,22050.0
1997,17.0,,,,5209.529411764706,7854.570597092235,0.0,0.0,557.0,7547.0,22141.0
1998,17.0,,,,5426.588235294118,8243.11342924219,0.0,0.0,413.0,7897.0,23063.0
1999,17.0,,,,5690.058823529412,8724.148371550287,0.0,0.0,501.0,8488.0,24183.0
2000,17.0,,,,6416.0,9608.432754617164,0.0,0.0,834.0,8805.0,27268.0
2001,17.0,,,,7392.470588235294,10931.937403301661,0.0,0.0,1135.0,9686.0,31418.0
2002,17.0,,,,8275.176470588236,12061.172560303237,0.0,0.0,1177.0,11077.0,35169.0
2003,17.0,,,,9356.823529411764,13518.299589053788,0.0,0.0,1259.0,12378.0,39767.0
2004,17.0,,,,9668.70588235294,13934.75670205936,0.0,0.0,1284.0,12365.0,41092.0
2005,17.0,,,,10068.470588235294,14500.899502779332,0.0,0.0,1270.0,12732.0,42791.0
2006,17.0,,,,10124.470588235294,14610.945837443443,0.0,0.0,1246.0,14034.0,43029.0
2007,17.0,,,,10016.0,14519.196120997884,0.0,0.0,1315.0,13537.0,42568.0
2008,17.0,,,,9707.058823529413,14301.435471966566,0.0,0.0,1181.0,13088.0,41255.0
2009,17.0,,,,8770.35294117647,13152.57232417473,0.0,0.0,809.0,12754.0,37274.0
2010,17.0,,,,8854.411764705883,13354.950739607877,0.0,0.0,806.0,12922.0,37631.0
2011,17.0,,,,9634.117647058823,14405.968649670667,0.0,0.0,824.0,13672.0,40945.0
2012,17.0,,,,10286.117647058823,15218.080582330154,0.0,0.0,783.0,13711.0,43716.0
2013,17.0,,,,10923.64705882353,16042.758272586638,0.0,0.0,1545.0,14078.0,46426.0
2014,17.0,,,,11500.70588235294,16745.869612999748,0.0,0.0,1607.0,15445.0,48878.0
2015,17.0,,,,11622.823529411764,16871.862327686642,0.0,0.0,1566.0,15274.0,49397.0
2016,17.0,,,,11718.823529411764,17001.916157580938,0.0,0.0,1557.0,15684.0,49805.0
2017,17.0,,,,11659.588235294117,16931.156159056383,0.0,0.0,1510.0,16230.0,49553.0
2018,17.0,,,,11779.235294117647,17117.85768769493,0.0,0.0,1587.0,15975.0,50062.0
2019,17.0,,,,11573.411764705883,16861.5746153007,0.0,0.0,1598.0,15853.0,49187.0
2020,17.0,,,,10106.058823529413,14763.186675268436,0.0,0.0,1094.0,13637.0,42951.0
2021,17.0,,,,10612.29411764706,15466.326696102995,0.0,0.0,1492.0,14496.0,45102.0
2022,17.0,,,,11229.882352941177,16320.137414718485,0.0,0.0,1535.0,15894.0,47727.0
2023,17.0,,,,11790.823529411764,17145.26518180491,0.0,0.0,1602.0,16595.0,50111.0
