year,Total NHE
1960,27122.0
1961,29060.0
1962,31765.0
1963,34558.0
1964,38245.0
1965,41627.0
1966,45752.0
1967,51186.0
1968,58015.0
1969,65417.0
1970,74077.0
1971,82380.0
1972,92385.0
1973,102654.0
1974,116344.0
1975,132666.0
1976,152028.0
1977,172650.0
1978,193964.0
1979,219685.0
1980,253232.0
1981,293572.0
1982,330935.0
1983,364806.0
1984,401898.0
1985,439877.0
1986,472280.0
1987,514473.0
1988,576649.0
1989,642177.0
1990,718730.0
1991,785965.0
1992,852199.0
1993,914871.0
1994,966369.0
1995,1020280.0
1996,1073558.0
1997,1132947.0
1998,1198443.0
1999,1273213.0
2000,1365999.0
2001,1483420.0
2002,1631021.0
2003,1770380.0
2004,1894682.0
2005,2026576.0
2006,2165103.0
2007,2305525.0
2008,2402362.0
2009,2492745.0
2010,2589643.0
2011,2676547.0
2012,2783261.0
2013,2855932.0
2014,3002106.0
2015,3165520.0
2016,3307924.0
2017,3446395.0
2018,3603752.0
2019,3762054.0
2020,4153858.0
2021,4327709.0
2022,4525845.0
2023,4866494.0
